id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Brms1l	4	0.1634	0.28814	0.999729	270	2	-0.03902	0.21359	0.3331	0.973961	351	2	-0.03902
Ddb1	4	0.16427	0.28913	0.999729	271	1	-0.10393	0.67982	0.68927	0.999995	712	1	-0.10393
Cmtr2	4	0.16518	0.29032	0.999729	272	2	-0.85971	0.63794	0.65758	0.999995	691	1	-0.85971
Cbx7	4	0.16703	0.29241	0.999729	273	2	-0.78314	0.95856	0.9584	0.999995	990	0	-0.78314
MouseNegCon_0068	1	0.16794	0.16821	0.999729	274	1	-1.6361	0.83206	0.8327	0.999995	846	0	-1.6361
MouseNegCon_0053	1	0.16819	0.16853	0.999729	275	1	-1.63	0.83181	0.83244	0.999995	845	0	-1.63
MouseNegCon_0006	1	0.17215	0.17239	0.999729	276	1	-1.5491	0.82785	0.82859	0.999995	841	0	-1.5491
Baz1b	4	0.17262	0.2985	0.999729	277	2	-0.90832	0.97388	0.97426	0.999995	1008	0	-0.90832
MouseNegCon_0084	1	0.17264	0.17296	0.999729	278	1	-1.5987	0.82736	0.82803	0.999995	840	0	-1.5987
Zbtb16	4	0.17374	0.29967	0.999729	279	2	-0.63787	0.81219	0.81358	0.999995	825	0	-0.63787
Stk4	4	0.17487	0.30072	0.999729	280	2	-0.89559	0.85964	0.8604	0.999995	881	0	-0.89559
Zfp706	4	0.17801	0.30401	0.999729	281	2	-0.60637	0.82051	0.82204	0.999995	831	0	-0.60637
Zeb1	4	0.17864	0.30469	0.999729	282	2	-0.46216	0.10303	0.20801	0.965384	213	1	-0.46216
Eny2	4	0.17902	0.30521	0.999729	283	2	-0.66389	0.92455	0.92435	0.999995	949	0	-0.66389
Hira	4	0.1794	0.30566	0.999729	284	2	-0.10358	0.072642	0.16132	0.93365	171	2	-0.10358
Sin3b	4	0.18129	0.30782	0.999729	285	2	-0.83687	0.69308	0.69993	0.999995	725	1	-0.83687
Zfp708	4	0.18142	0.30797	0.999729	286	2	-0.21837	0.86566	0.86635	0.999995	887	0	-0.21837
Phf8	4	0.18227	0.30889	0.999729	287	2	-0.3147	0.8105	0.81179	0.999995	822	0	-0.3147
Smyd2	4	0.18312	0.30964	0.999729	288	1	0.26451	0.24803	0.3715	0.975854	397	2	0.26451
Hmga2	4	0.18358	0.31014	0.999729	289	2	-0.93189	0.95634	0.95621	0.999995	985	0	-0.93189
Kmt2e	4	0.18396	0.31065	0.999729	290	2	-0.67762	0.87042	0.87131	0.999995	892	0	-0.67762
Ctr9	4	0.18482	0.31155	0.999729	291	2	-0.56385	0.75741	0.7576	0.999995	777	1	-0.56385
Thumpd3	4	0.1851	0.31176	0.999729	292	2	-0.28239	0.26757	0.39362	0.975854	420	2	-0.28239
Kdm2b	4	0.18549	0.31222	0.999729	293	2	-0.56087	0.69834	0.70464	0.999995	728	1	-0.56087
MouseNegCon_0013	1	0.18599	0.18582	0.999729	294	1	-1.3718	0.81401	0.81504	0.999995	827	0	-1.3718
Satl1	4	0.18625	0.31313	0.999729	295	2	-0.7367	0.30177	0.433	0.975854	459	1	-0.7367
Scmh1	4	0.18736	0.3144	0.999729	296	1	0.25525	0.32039	0.45429	0.9775	486	2	0.25525
Ep400	4	0.18779	0.31484	0.999729	297	2	-0.40676	0.79013	0.79113	0.999995	803	0	-0.40676
Fancl	4	0.18894	0.31599	0.999729	298	2	-0.83927	0.94966	0.94932	0.999995	978	0	-0.83927
Zranb3	4	0.18989	0.31687	0.999729	299	1	0.39615	0.14704	0.25854	0.973961	267	2	0.39615
Apbb1	4	0.19158	0.31863	0.999729	300	1	0.24022	0.80475	0.80582	0.999995	812	0	0.24022
Nacc1	4	0.19242	0.31944	0.999729	301	2	-0.054214	0.176	0.29122	0.973961	305	2	-0.054214
Mbd2	4	0.19279	0.31979	0.999729	302	2	-0.22735	0.23696	0.35943	0.975854	382	2	-0.22735
Sin3a	4	0.19326	0.32038	0.999729	303	2	-0.56042	0.56941	0.61059	0.999995	646	1	-0.56042
L3mbtl3	4	0.19357	0.32069	0.999729	304	2	-0.63669	0.26088	0.38617	0.975854	412	1	-0.63669
Dpy30	4	0.19473	0.32196	0.999729	305	2	-0.3629	0.60945	0.63653	0.999995	671	1	-0.3629
Zbtb3	4	0.19495	0.32224	0.999729	306	2	-0.21488	0.77535	0.77634	0.999995	791	0	-0.21488
Zhx1	4	0.19662	0.32409	0.999729	307	1	0.021445	0.8661	0.86681	0.999995	888	0	0.021445
Foxk1	4	0.19706	0.32455	0.999729	308	2	-0.88808	0.11662	0.22321	0.965384	233	1	-0.88808
Foxj3	4	0.19745	0.325	0.999729	309	2	-0.33674	0.71682	0.72032	0.999995	744	1	-0.33674
Klf16	4	0.19914	0.32674	0.999729	310	2	-0.71656	0.28424	0.41248	0.975854	441	1	-0.71656
Svep1	4	0.19998	0.32766	0.999729	311	2	-0.16603	0.36448	0.49712	0.978682	528	1	-0.16603
Tnks2	4	0.20081	0.32849	0.999729	312	1	0.097985	0.50338	0.56947	0.999995	605	1	0.097985
Zfp821	4	0.20332	0.33115	0.999729	313	1	-0.14347	0.5604	0.60455	0.999995	636	1	-0.14347
Tet1	4	0.20498	0.33273	0.999729	314	1	0.27725	0.27263	0.39923	0.975854	427	1	0.27725
Trim16	4	0.20528	0.33302	0.999729	315	2	-0.063647	0.11556	0.22192	0.965384	231	2	-0.063647
Tlk2	4	0.20646	0.33436	0.999729	316	2	-0.5453	0.90944	0.90949	0.999995	933	0	-0.5453
Asxl3	4	0.20831	0.33645	0.999729	317	2	-0.43397	0.13804	0.24779	0.973961	257	1	-0.43397
Nsun6	4	0.20843	0.33656	0.999729	318	2	-0.73828	0.49455	0.5642	0.999995	600	1	-0.73828
Mier2	4	0.20962	0.33781	0.999729	319	2	-0.19061	0.21041	0.32974	0.973961	346	2	-0.19061
Prmt3	4	0.2112	0.33963	0.999729	320	2	-0.3286	0.35428	0.49172	0.978682	521	2	-0.3286
Dot1l	4	0.21245	0.34079	0.999729	321	1	0.19822	0.7811	0.78192	0.999995	796	0	0.19822
Pcgf2	4	0.21279	0.34115	0.999729	322	2	-0.56694	0.083739	0.1831	0.93365	194	1	-0.56694
Ucn	4	0.21478	0.34327	0.999729	323	2	-0.69512	0.94849	0.9482	0.999995	976	0	-0.69512
Dnmt3l	4	0.21558	0.34426	0.999729	324	2	-0.060857	0.11425	0.22056	0.965384	228	2	-0.060857
Prmt8	4	0.21598	0.34466	0.999729	325	2	-0.33554	0.54854	0.59687	0.999995	629	1	-0.33554
Zfp109	4	0.21657	0.34527	0.999729	326	1	1.4643	0.00172	0.0066083	0.616646	10	3	1.4643
Alkbh8	4	0.21822	0.34709	0.999729	327	1	0.90668	0.031245	0.078505	0.890829	92	2	0.90668
Zfp103	4	0.21904	0.34784	0.999729	328	2	-0.29452	0.26716	0.39326	0.975854	419	1	-0.29452
Tnip2	4	0.21957	0.34839	0.999729	329	2	-0.30629	0.46054	0.5453	0.999722	580	1	-0.30629
Zfp53	4	0.22037	0.34919	0.999729	330	2	-0.16172	0.18091	0.29696	0.973961	312	2	-0.16172
Rnf2	4	0.22238	0.3511	0.999729	331	2	-0.7149	0.74131	0.74207	0.999995	761	1	-0.7149
Fbxo9	4	0.22314	0.35177	0.999729	332	1	0.30533	0.19579	0.31347	0.973961	330	1	0.30533
Zfp61	4	0.22395	0.35272	0.999729	333	2	-0.19172	0.1103	0.21612	0.965384	220	1	-0.19172
Msl1	4	0.2252	0.35391	0.999729	334	2	-0.73724	0.92268	0.92242	0.999995	946	0	-0.73724
Ctbp2	4	0.22722	0.35611	0.999729	335	1	0.28037	0.0064106	0.02191	0.699807	32	2	0.28037
MouseNegCon_0056	1	0.22776	0.22816	0.999729	336	1	-1.1289	0.77224	0.77385	0.999995	789	0	-1.1289
Trmt5	4	0.22883	0.35796	0.999729	337	2	-0.45133	0.87106	0.87201	0.999995	894	0	-0.45133
Ncoa1	4	0.22885	0.35798	0.999729	338	2	-0.1292	0.30661	0.43845	0.975854	466	2	-0.1292
Btbd1	4	0.23045	0.3596	0.999729	339	2	-0.50927	0.9196	0.91934	0.999995	943	0	-0.50927
Hfm1	4	0.23128	0.3606	0.999729	340	1	0.22798	0.28116	0.40907	0.975854	439	2	0.22798
Larp1	4	0.23167	0.361	0.999729	341	2	-0.24553	0.31177	0.44426	0.975854	473	2	-0.24553
Prr14	4	0.2321	0.36139	0.999729	342	2	-0.095368	0.24351	0.3665	0.975854	389	2	-0.095368
Bach1	4	0.2337	0.36337	0.999729	343	2	-0.39146	0.20831	0.32737	0.973961	344	1	-0.39146
Slbp	4	0.23533	0.36514	0.999729	344	2	-0.51266	0.96078	0.96065	0.999995	991	0	-0.51266
E2f6	4	0.23695	0.3671	0.999729	345	1	0.33316	0.34381	0.4808	0.978682	510	2	0.33316
MouseNegCon_0031	1	0.23715	0.23761	0.999729	346	1	-1.0592	0.76285	0.76447	0.999995	780	0	-1.0592
Zfp90	4	0.23776	0.36787	0.999729	347	1	0.86325	0.025644	0.066492	0.844903	81	3	0.86325
Ift74	4	0.239	0.36921	0.999729	348	2	-0.43287	0.68484	0.69307	0.999995	715	1	-0.43287
Phf2	4	0.24098	0.37121	0.999729	349	1	0.17637	0.85458	0.85559	0.999995	873	0	0.17637
Mrgbp	4	0.24178	0.37202	0.999729	350	1	0.29557	0.25589	0.38028	0.975854	407	2	0.29557
Dpf2	4	0.24339	0.37368	0.999729	351	2	-0.55389	0.93416	0.9339	0.999995	961	0	-0.55389
Zfp316	4	0.24556	0.37599	0.999729	352	2	-0.25263	0.60108	0.63105	0.999995	665	1	-0.25263
MouseNegCon_0042	1	0.24679	0.24737	0.999729	353	1	-0.97869	0.75321	0.75482	0.999995	773	0	-0.97869
Zkscan3	4	0.24721	0.37782	0.999729	354	2	-0.22279	0.33772	0.47388	0.978682	501	2	-0.22279
Mef2b	4	0.24762	0.37815	0.999729	355	2	-0.55999	0.78674	0.78759	0.999995	799	0	-0.55999
Mcm3ap	4	0.24803	0.37856	0.999729	356	2	-0.68168	0.94731	0.94701	0.999995	975	0	-0.68168
Jmjd8	4	0.24819	0.37866	0.999729	357	2	-0.59006	0.88157	0.88243	0.999995	908	0	-0.59006
Mettl6	4	0.25058	0.3812	0.999729	358	1	0.0014935	0.11572	0.22217	0.965384	232	1	0.0014935
Senp1	4	0.25138	0.38192	0.999729	359	1	0.34829	0.17902	0.29465	0.973961	310	2	0.34829
Atf7ip	4	0.25216	0.38279	0.999729	360	2	-0.44582	0.67003	0.68158	0.999995	709	1	-0.44582
Phf3	4	0.25217	0.3828	0.999729	361	2	-0.25506	0.6196	0.64361	0.999995	679	1	-0.25506
Hmx2	4	0.25299	0.38363	0.999729	362	2	-0.68665	0.44417	0.53665	0.999722	568	1	-0.68665
Jarid2	4	0.25376	0.38442	0.999729	363	1	0.34028	0.27345	0.39999	0.975854	428	2	0.34028
Klf8	4	0.25465	0.38553	0.999729	364	2	-0.085528	0.20253	0.32102	0.973961	337	2	-0.085528
Gadd45b	4	0.25693	0.38786	0.999729	365	1	0.40797	0.13361	0.24316	0.973961	253	2	0.40797
Zbtb11	4	0.25797	0.38913	0.999729	366	2	-0.50794	0.92928	0.92881	0.999995	954	0	-0.50794
MouseNegCon_0085	1	0.26063	0.26131	0.999729	367	1	-0.91077	0.73937	0.74092	0.999995	758	0	-0.91077
Mettl18	4	0.26088	0.39242	0.999729	368	1	0.1089	0.079101	0.17381	0.93365	183	1	0.1089
MouseNegCon_0015	1	0.26162	0.26229	0.999729	369	1	-0.90792	0.73838	0.73998	0.999995	757	0	-0.90792
Aebp2	4	0.26172	0.39344	0.999729	370	2	-0.74767	0.88687	0.88752	0.999995	912	0	-0.74767
Zfp532	4	0.26422	0.39623	0.999729	371	2	-0.72532	0.53589	0.58898	0.999995	622	1	-0.72532
Uimc1	4	0.26481	0.39672	0.999729	372	1	-0.20144	0.6305	0.65188	0.999995	687	1	-0.20144
Jdp2	4	0.26638	0.39851	0.999729	373	1	0.067528	0.67432	0.68506	0.999995	710	1	0.067528
MouseNegCon_0019	1	0.26829	0.26946	0.999729	374	1	-0.8758	0.73171	0.73303	0.999995	752	0	-0.8758
MouseNegCon_0025	1	0.26903	0.2701	0.999729	375	1	-0.87083	0.73097	0.73241	0.999995	751	0	-0.87083
Hltf	4	0.26951	0.40162	0.999729	376	2	0.18153	0.08571	0.18708	0.93365	201	2	0.18153
Kti12	4	0.26967	0.40187	0.999729	377	2	-0.35073	0.60058	0.63073	0.999995	664	1	-0.35073
Phldb1	4	0.27051	0.40271	0.999729	378	2	-0.29461	0.16772	0.28186	0.973961	292	1	-0.29461
Bcdin3d	4	0.27107	0.40324	0.999729	379	1	-0.24404	0.33295	0.46839	0.978682	497	1	-0.24404
Poc5	4	0.27263	0.40485	0.999729	380	1	0.049087	0.14597	0.25725	0.973961	265	1	0.049087
Nap1l2	4	0.27303	0.40517	0.999729	381	2	-0.66186	0.83376	0.83464	0.999995	848	0	-0.66186
Rcor1	4	0.27598	0.40847	0.999729	382	2	-0.18154	0.35035	0.48786	0.978682	518	2	-0.18154
Smarcd1	4	0.2764	0.40897	0.999729	383	2	-0.50519	0.47836	0.55471	0.999995	589	1	-0.50519
Chd1	4	0.27682	0.40944	0.999729	384	2	-0.30433	0.18482	0.30137	0.973961	319	1	-0.30433
Hells	4	0.27729	0.41006	0.999729	385	1	0.65998	0.15061	0.26246	0.973961	273	2	0.65998
Pcaf	3	0.27812	0.39331	0.999729	386	1	-0.17991	0.87785	0.87689	0.999995	902	0	-0.17991
Supt7l	4	0.27851	0.41143	0.999729	387	2	-0.42821	0.014258	0.041501	0.805302	53	1	-0.42821
Arntl	4	0.27884	0.41177	0.999729	388	1	0.2531	0.25051	0.37416	0.975854	401	2	0.2531
MouseNegCon_0041	1	0.28188	0.28241	0.999729	389	1	-0.81143	0.71812	0.71936	0.999995	746	0	-0.81143
Zfp62	4	0.28193	0.41493	0.999729	390	1	-0.21031	0.5224	0.58101	0.999995	615	1	-0.21031
MouseNegCon_0083	1	0.28386	0.28428	0.999729	391	1	-0.80109	0.71614	0.71734	0.999995	742	0	-0.80109
Rcor3	4	0.28401	0.41718	0.999729	392	2	-0.6645	0.54636	0.59553	0.999995	627	1	-0.6645
Kdm5d	4	0.28424	0.41742	0.999729	393	2	-0.62547	0.024973	0.06494	0.843433	80	1	-0.62547
Trrap	4	0.28501	0.41835	0.999729	394	2	-0.2661	0.89657	0.89693	0.999995	921	0	-0.2661
Zfp410	4	0.28528	0.41866	0.999729	395	2	-0.14917	0.3049	0.43657	0.975854	463	2	-0.14917
Brpf1	4	0.28578	0.41911	0.999729	396	1	0.4275	0.02732	0.070111	0.844903	85	2	0.4275
Sf3b3	4	0.28613	0.41943	0.999729	397	2	-0.34704	0.76551	0.76628	0.999995	782	0	-0.34704
Kmt5b	3	0.28644	0.39819	0.999729	398	1	-0.43338	0.92012	0.91875	0.999995	944	0	-0.43338
Rsf1	4	0.28654	0.41988	0.999729	399	1	-0.20561	0.84987	0.85078	0.999995	865	0	-0.20561
